key,en_present,zh_present,consumer_scope,owner,sdk_key,compatibility_until
extend.header.account_wallet,true,true,apps-web,application,,
extend.header.channels,true,true,apps-web,application,,
extend.header.home,true,true,apps-web,application,,
extend.header.language,true,true,apps-web,application,,
extend.header.launchpad,true,true,apps-web,application,,
extend.header.predict,true,true,apps-web,application,,
extend.header.pulse,true,true,apps-web,application,,
extend.header.search_placeholder,true,true,apps-web,application,,
extend.header.settings,true,true,apps-web,application,,
extend.header.trade,true,true,apps-web,application,,
extend.hlDeposit.balance,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.balance,stage-6
extend.hlDeposit.confirm,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.confirm,stage-6
extend.hlDeposit.converting,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.converting,stage-6
extend.hlDeposit.enterAmount,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.enterAmount,stage-6
extend.hlDeposit.entry,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.entry,stage-6
extend.hlDeposit.entryShort,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.entryShort,stage-6
extend.hlDeposit.errorInsufficient,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.errorInsufficient,stage-6
extend.hlDeposit.errorInvalid,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.errorInvalid,stage-6
extend.hlDeposit.errorQuote,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.errorQuote,stage-6
extend.hlDeposit.exchangeSubtitle,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.exchangeSubtitle,stage-6
extend.hlDeposit.fetchingQuote,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.fetchingQuote,stage-6
extend.hlDeposit.gaining,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.gaining,stage-6
extend.hlDeposit.max,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.max,stage-6
extend.hlDeposit.needsConfig,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.needsConfig,stage-6
extend.hlDeposit.needsEvmWallet,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.needsEvmWallet,stage-6
extend.hlDeposit.needsSolWallet,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.needsSolWallet,stage-6
extend.hlDeposit.platformFee,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.platformFee,stage-6
extend.hlDeposit.rate,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.rate,stage-6
extend.hlDeposit.signing,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.signing,stage-6
extend.hlDeposit.title,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.title,stage-6
extend.hlDeposit.usdcLabel,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.usdcLabel,stage-6
extend.hlDeposit.waitingQuote,true,true,sdk-domain-and-legacy-template,legacy-compat,hlDeposit.waitingQuote,stage-6
extend.languages.en,true,true,apps-web,application,,
extend.languages.zh,true,true,apps-web,application,,
extend.launchpad.advanced_options,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.advanced_options,stage-6
extend.launchpad.basic_options,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.basic_options,stage-6
extend.launchpad.curve_preview,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.curve_preview,stage-6
extend.launchpad.curve_preview_migration_mc,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.curve_preview_migration_mc,stage-6
extend.launchpad.curve_preview_starting_mc,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.curve_preview_starting_mc,stage-6
extend.launchpad.curve_preview_token_supply,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.curve_preview_token_supply,stage-6
extend.launchpad.description_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.description_label,stage-6
extend.launchpad.description_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.description_placeholder,stage-6
extend.launchpad.error_image_required,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_image_required,stage-6
extend.launchpad.error_image_upload,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_image_upload,stage-6
